"","unique","Team","Position","Name","Projected","Points","Starter","Week","Largest","SecLargest","BadDecision"
"1","Team 10D/ST1","Team 10","D/ST","Steelers D/ST",8.2,10,"Yes","1",17,10,1
"2","Team 10D/ST1","Team 10","D/ST","Saints D/ST",4.7,17,"No","1",17,10,0
"3","Team 10D/ST10","Team 10","D/ST","Steelers D/ST",6.5,11,"No","10",11,2,0
"4","Team 10D/ST10","Team 10","D/ST","Eagles D/ST",7.5,2,"Yes","10",11,2,1
"5","Team 10D/ST11","Team 10","D/ST","Steelers D/ST",7.2,16,"Yes","11",16,16,0
"6","Team 10D/ST12","Team 10","D/ST","Steelers D/ST",7.5,16,"Yes","12",16,16,0
"7","Team 10D/ST13","Team 10","D/ST","Steelers D/ST",7.5,3,"Yes","13",3,3,0
"8","Team 10D/ST14","Team 10","D/ST","Chiefs D/ST",6.8,13,"Yes","14",13,5,0
"9","Team 10D/ST14","Team 10","D/ST","Steelers D/ST",5.6,5,"No","14",13,5,1
"10","Team 10D/ST2","Team 10","D/ST","Steelers D/ST",7.9,13,"Yes","2",13,13,0
"11","Team 10D/ST3","Team 10","D/ST","Steelers D/ST",8.3,9,"Yes","3",9,9,0
"12","Team 10D/ST4","Team 10","D/ST","Saints D/ST",5.5,6,"Yes","4",6,0,0
"13","Team 10D/ST4","Team 10","D/ST","Steelers D/ST",0,0,"No","4",6,0,1
"14","Team 10D/ST5","Team 10","D/ST","Steelers D/ST",7.7,8,"Yes","5",8,8,0
"15","Team 10D/ST6","Team 10","D/ST","Steelers D/ST",6,19,"Yes","6",19,19,0
"16","Team 10D/ST7","Team 10","D/ST","Eagles D/ST",7.3,9,"Yes","7",9,4,0
"17","Team 10D/ST7","Team 10","D/ST","Steelers D/ST",5.1,4,"No","7",9,4,1
"18","Team 10D/ST8","Team 10","D/ST","Steelers D/ST",5.6,13,"No","8",21,13,1
"19","Team 10D/ST8","Team 10","D/ST","Eagles D/ST",7.7,21,"Yes","8",21,13,0
"20","Team 10D/ST9","Team 10","D/ST","Eagles D/ST",0,0,"No","9",5,0,1
"21","Team 10D/ST9","Team 10","D/ST","Steelers D/ST",7.2,5,"Yes","9",5,0,0
