"","Team","Name","Position","Week","Actual","Projected","Difference"
"1","Team 1","Aaron Rodgers","QB","2",19.2,18,1.2
"2","Team 1","Aaron Rodgers","QB","3",24.52,18,6.52
"3","Team 1","Aaron Rodgers","QB","4",29.58,21.1,8.48
"4","Team 1","Aaron Rodgers","QB","6",3.8,19.4,-15.6
"5","Team 1","Aaron Rodgers","QB","7",27.32,20.6,6.72
"6","Team 1","Aaron Rodgers","QB","8",22.54,19.2,3.34
"7","Team 1","Aaron Rodgers","QB","9",28.9,19.4,9.5
"8","Team 1","Aaron Rodgers","QB","10",25.4,20,5.4
"9","Team 1","Aaron Rodgers","QB","11",21.74,18.5,3.24
"10","Team 1","Aaron Rodgers","QB","12",25.64,18.8,6.84
"11","Team 1","Aaron Rodgers","QB","13",23.5,20.7,2.8
"12","Team 1","Aaron Rodgers","QB","14",30.9,23.7,7.2
"13","Team 1","Alvin Kamara","RB","1",23.7,19.6,4.1
"14","Team 1","Alvin Kamara","RB","2",38.4,20.4,18
"15","Team 1","Alvin Kamara","RB","3",44.7,23.2,21.5
"16","Team 1","Alvin Kamara","RB","4",20.9,24.7,-3.8
"17","Team 1","Alvin Kamara","RB","5",19.9,22.2,-2.3
"18","Team 1","Alvin Kamara","RB","7",22.8,22.8,0
"19","Team 1","Alvin Kamara","RB","8",25.3,22.9,2.4
"20","Team 1","Alvin Kamara","RB","9",15.9,21.9,-6
"21","Team 1","Alvin Kamara","RB","10",34.8,22.7,12.1
"22","Team 1","Alvin Kamara","RB","11",10.5,20.4,-9.9
"23","Team 1","Alvin Kamara","RB","12",6.2,18.6,-12.4
"24","Team 1","Alvin Kamara","RB","13",17.7,17.3,0.399999999999999
"25","Team 1","Alvin Kamara","RB","14",22.4,16.9,5.5
"26","Team 1","Amari Cooper","WR","1",18.1,13.4,4.7
"27","Team 1","Amari Cooper","WR","2",16,15.6,0.4
"28","Team 1","Amari Cooper","WR","3",17.6,15.2,2.4
"29","Team 1","Amari Cooper","WR","4",33.4,14.1,19.3
"30","Team 1","Amari Cooper","WR","5",4.1,15.2,-11.1
"31","Team 1","Amari Cooper","WR","6",20.9,13.1,7.8
"32","Team 1","Amari Cooper","WR","7",15.5,14.4,1.1
"33","Team 1","Amari Cooper","WR","8",1.5,12.9,-11.4
"34","Team 1","Amari Cooper","WR","9",12.5,12.9,-0.4
"35","Team 1","Amari Cooper","WR","11",14.1,13,1.1
"36","Team 1","Amari Cooper","WR","13",16.3,14.1,2.2
"37","Team 1","Amari Cooper","WR","14",15.1,12.9,2.2
"38","Team 1","Bengals D/ST","D/ST","12",7,6.5,0.5
"39","Team 1","Brandon Aiyuk","WR","10",19.7,13.3,6.4
"40","Team 1","Buccaneers D/ST","D/ST","3",19,8.3,10.7
"41","Team 1","Buccaneers D/ST","D/ST","4",6,6.7,-0.7
"42","Team 1","Buccaneers D/ST","D/ST","5",7,6.6,0.4
"43","Team 1","Buccaneers D/ST","D/ST","7",5,6.3,-1.3
"44","Team 1","Buccaneers D/ST","D/ST","8",6,8.3,-2.3
"45","Team 1","Buccaneers D/ST","D/ST","9",-1,4.3,-5.3
"46","Team 1","Buccaneers D/ST","D/ST","10",8,6.5,1.5
"47","Team 1","Buccaneers D/ST","D/ST","11",1,5.2,-4.2
"48","Team 1","Cam Newton","QB","1",25.7,18.1,7.6
"49","Team 1","Corey Davis","WR","9",0,11.7,-11.7
"50","Team 1","Corey Davis","WR","13",35.2,11.3,23.9
"51","Team 1","Corey Davis","WR","14",4.4,13.7,-9.3
"52","Team 1","Cowboys D/ST","D/ST","14",17,6.9,10.1
"53","Team 1","Dallas Goedert","TE","11",18.7,10.5,8.2
"54","Team 1","Dallas Goedert","TE","12",20.5,11.7,8.8
"55","Team 1","Dallas Goedert","TE","13",11.6,9.7,1.9
"56","Team 1","Dallas Goedert","TE","14",8.3,9.2,-0.899999999999999
"57","Team 1","Devonta Freeman","RB","6",6.7,13.3,-6.6
"58","Team 1","DJ Moore","WR","1",9.4,15,-5.6
"59","Team 1","DJ Moore","WR","2",20,13.6,6.4
"60","Team 1","DJ Moore","WR","3",8.5,14.1,-5.6
"61","Team 1","DJ Moore","WR","4",8.9,14.2,-5.3
"62","Team 1","DJ Moore","WR","5",19.3,13.9,5.4
